Address,Balance
kujira17du97esur46k28s932cewjeguyt5p82k52qvlq,17593934
kujira1pgr7tvlr00jyq3lwzqjylf60yq5r0w97z8w3e4,27815167
kujira1u5z4w8zrvd7vpntkjlspv30pe5fqwmg5luat22,1419500
kujira12hmvjayqdzuq3yenq04q9n379pw85rzcx7s634,278584
kujira15vkvn5857k2vm80zg0escxaavc027ndkm9h9hj,146108
kujira1eyyrh8tzh4782aps4nfd72g5sye73mrtecjq55,523344
kujira1lghsll743nfydnv5qc9hmxtlk2qkh2p5yn2y02,593330
kujira1qce0v4y5kaqurud865x2jqq9lzn4d5pwjmxvk5,6679909
kujira15l55gh6vp7d744avuqyh7hfdj0a6nvncrvq0tk,272004
kujira1mdachudsty4t7sxuzd9rj73dwut35yquf2nxua,78237
kujira1fy0rswthjq27yth9vcc6aj3qwvv4n89mt3hcxm,354944
kujira1tmr6dv5mccswd75tpw07wlyuelce29fy3tfmxw,361107
kujira1v6lh7dk92pkhxerrvwz2x5fx46evqxcgj5capc,273190
kujira10905rstxf5tzj0w6gguaa76ma7s32v48wqr9k0,38137681
kujira1004ww0jddyw52vwvectmhpe0trtacjqfhn2hn8,4754
kujira1cdpnurjmf8phm64ncajffruzp2rvcqcekvtsu3,3929293
kujira1lnhnc8x59l988rsy6mxmu9euht29kgag0r3e5c,345407
kujira18ank35aua8ftetpmvcsxwdqy4phelteewxu83m,12528832
kujira1pucmuxyepvwvrgrdqut7ql8eeawq7rtgayrhnt,75012
kujira1hrvfnaccetvrwc6y3j253zscas3y722xqa0kk0,21497684
kujira1epxyewh3h8vdhz6d6yyst6muz2fgwkp3zunnpz,217079
kujira1qy9syn2enzfufd0deydhpn9jmshc5vs69s00a6,316212
kujira150g7x0cwhcg27nhjgy4258pc67lggkz55htd4v,622486
kujira16qcxnzcf6ccvk7ldfpfcv4v34gld74vdfnmnkz,1051938
kujira1894rkv630750v3wdmd536xlnqhvad0g7u6zxwp,19053965
kujira1krgr6ttn593gekq39v22lk76cwqugs30xckn22,768690
kujira1lzx4cwyxnxfrr2zyru06v3fhhg64pav8fp7d7x,881486
kujira1y8hj5k655u933jn87m2scgwppe5y5un3xzut4n,214539
kujira13m7admpkdh7m8cyd9gu5d2gmaku8azf84wpmsm,1570719
kujira14sy0gsq7nde09ha8fdr90uac636frd9nfeqx9u,157006
kujira10jt37hualker4s6hjhyt3rv3ue2cnvazez92p6,67473226372
kujira18xu4euurjrk8ykc0uk8x3ddjcu67gwrltddjny,544286
kujira12pm604dl03upmfhswz4ddw7ermzeztkc3z4e7j,34084
kujira1ew2505rq7ajcv44mxxjwlttw0qd4x6psclwz87,1
kujira19wdx6jhcv4ef0c27tuvjluj08ztur9zu3ctlnl,3581153
kujira1d9zpmj4tj8fa6vztaevvafjphd452vqycw0p0y,203184
kujira1kqnszuf7ljwjamn78cc7ppdht7l54wtv4qgudh,562296
kujira1ukacr8082lu35zuzh37qkdzq5tle78fh98rdzq,4270571
kujira1z57erk9tnd7rn6sadcghcz4y6jtczcgmkpq9em,80900
kujira16h5ksvuuear5mnvews4u4pe5g0vuew2c2a4ph2,94425
kujira15xw9yljh2warnjvly96qkdqgafmw6s89ddda74,2736272
kujira1n9tdz4adkf9zqlrn9jrulan37nhv2fq6l6qwqj,72870
kujira12nkyf5vjcqmqlun2jj69t0y38zu6k2783uv6y2,29963
kujira1xw743j052l3a6qzkll9q3eetay0wj82nufp0ed,1937621
kujira16h23965a7atjvcm9m0zgec006cm5wmppj4gg9z,885005
kujira1qnftgy0kxz2ndatmetrnm9x2r7qqrrkylqf0rw,1066219
kujira1fwssnej2gnpyqeqvhr0jarkk7le68nwqfxpcvu,10467
kujira12rj4g9s2655xws4gd0rr0mgje506rd0d847ajg,272144
kujira1sarve5zy9zssuyhex38cwcd98hpq35ktg3yalt,496135
kujira1ktyep5shj972cc7j0ksjduytff5jaeqh7aqvul,464985
kujira1mpalvg9mfzv6fd33nv8d5sa8kpxccnrmj5vmfl,362063
kujira189g5e2hy7anxhqhaz9uy24z5ylvvqe0ssglhml,1157890
kujira18wfrck80y0zrq0v807gfxz78556lc4aqv4ry8q,5221334
kujira1vkv8xmjrqlgr0knl83qw5fu6mjphr5ye767cly,2799997200000
kujira19p4jct64683furhcxlgcsvqaj8ulr8wh24jvnw,4474647
kujira1y9x0q6fvp8uenpjas2g2jqzk0f22ptxrzcz62c,628562
kujira197s74jg6e2pjmyrkcn4end7ck42wj70hhg9lha,785980
kujira180q6xz3pqlk7gnkgxqs3a6zgfsjlwnlyt6e64l,89289
kujira1htf9fwpfqte45847w2wtute72hwlt67xv0spjk,393041
kujira1afwq2wtv0rtqvtd6x3wwfv85yg55lnj57sqh62,92008
kujira1zrmn5l80pdr72x2dm64nk0apn4rhnzn33rv0rz,550679
kujira1smmp654y04tylzj8rrgfgkkg2u4jzlamfyutgj,15648256
kujira14v4x5ae5ex8r5glylvm795lm7t3kfyxfk6uhsf,52335
kujira16mg3fepen5p70xytgsxvkqzzf3dr7gwlw5nfqg,5442889
kujira17f2caukq54y2lzphlu760tpu67rccwa99dw7xc,940213
kujira1z5tuvez9gw844jpv4hfmqw9tx4u49e3fw24cs5,80624
kujira1sfyv9rcy50z64qzgxqkj7upytgtcc4rran5pyh,25913
kujira1fmlpq2wpnu0xdp0ntunqyg64g7p7gkwxeknq06,244456
kujira1tj5pf7kv5msked2tz0pzj4pdfssg53z7zjjkva,2946024
kujira1vs0m48g9pmlnx8ezkufqflkl7hjh0wqmzqvn5p,846445
kujira104n62m3zh2p6h8jvjs5ymn7ahckmektgfvmhf5,533821
kujira15vr2a2ucxt3lmsceldvnqtmvgaxmnhjnge74zw,215352
kujira16tdhpwf33aspajwpm6rtxwjexs8s4skrfa8etm,245865
kujira1lgxqmd9faa2n3pvavca93e6z87k4p9ajr0yu38,8327989
kujira1ggcts0h3tvj95a4vmf9psk45xy9e0ftuhz68hf,72469
kujira1jkxx5ujm4k3mx8c8th05m8gzj2f48rcp60z93u,7701579
kujira1enspn0n8dlzemy0k2h22p4u35dwxg3kmnsnfdc,346818
kujira16exyvz22kjdaejt7k37z7upfmlgnh6c0czcy4z,542296
kujira19dhvsjvyx2fcrl8xwedge27268tknyck3w0kuz,31456094914
kujira15vsegt0tjjyak543u2rkzzyasxd7qrvh4gjntz,12595
kujira1ldw00asmmg9awp992cyq4qztt8j6p664hhvxn0,1838866
kujira1l586p3lje48mv7dedzrwwne255de2dsy5zjnf6,571483
kujira1jqjuzu9kxa0aqfu9fjths5xcwwvseq6vu4vsnm,172469
kujira16umnylh9y22auyttqzwsufg0k8tdctmtgzmqpl,345835
kujira17y8st7hw2zh2r3zlm34gcwm8kgrz3mlflcq5h7,844301
kujira15a5nkc3hrcswzkmd9zuhuk28n50mcevyf9040c,22
kujira18vauaadvdn6sfhcuz444dmr43swhdl4hspulwa,52108
kujira1dh25tzzuvqhc0qxku82g67xvsq3shxfkvaa26y,183170
kujira10p23vtv2tyh0tvhf3n2pt7934ppdv8lf0la0he,2495571
kujira1qldp7hpjkfgr6xfgtq87fmd06gztvehstxz4ec,1540574
kujira1yg9egcdlzc6av8rm0tyyh5famrjuw588sxtu43,525634
kujira1x27a88udv0zej6ukfe66hq0f6rqkryyx844rgp,529042
kujira1vy3e28p3tw3q57pew8y5qar6w0zheedw0rj49c,100968
kujira1mwhuwfjqsfm982l8trmcnzp38kdk4xe4ln29tw,54997
kujira1rs5s4g4v000w8zj7hdlmyqdqkhlel3e889nyul,160311
kujira1f2yuhrhjtwdgynu4r6krwj6qja43zd0f5ru3ym,11825578
kujira1tpky30fvurqafp0q9880zttztsu4r9lpcypk3q,545059
kujira13thpx3fg0m2ffu3jfsujftuu8vxsfgc3zh68cr,607038
kujira1xr5wrqzvx77wcxh94rd92jr53jghq9xcmzp785,1147086
kujira1fwmcetqmn2re4dfcq9gh3xzhsj0vc2mq2vxmlz,653147
kujira13yalggau25lf76tlv7emerw9s6ahvhhtwvdw2c,3831492
kujira13dym5pvtde8y6c2za6qrxa5fskh0u056fgd0mn,100284
kujira1nlczszcadz62xsknuva870p7g6fl6gz9nd2tv0,13664
kujira1htdaph2vgvq3c5xmkcf8nysdzjclavmejdrdsg,959523
kujira1yxuf2gyj94clw9c6gfwy3ydm0vspgyeeua4gtl,312060
kujira1ll70t63ymltxrcjvhe0vtr3wxrywc00y9csw8r,408215
kujira1xn035q928lfkmkmr40dkvs4fc6z8hws205r4dl,1102237
kujira1grme3xjluwrh56gz98lhva3ralcpaxfmq28yty,296648
kujira12e4xvjkx86lwv05s07x7mndvvd2eymlu7rgsn0,24067
kujira1hjnvdkftjuleqn5qyn03emu6jj6mw4pncw724f,177202
kujira1rnnuk7rmjwj3ep97s5d0w5ek5che53ek38nf0v,6253592
kujira145wmjplw77d4dtm7rnjpahf6stntm8rnjx3zxt,777729
kujira1kmgnrgjpell5zqewfv4xdd4yh3tk9az7535hyu,27544
kujira1hxsqtcnemr4zctsqlzr0st0zqk2z683erw7t3s,7560787
kujira1c3n6ckhvhxcyndltqamqxxhsq8fc5rl3geavmv,837352
kujira1u87g33ps05dmjv4zdlkgdf6sf3j95jkv0pld6e,8591434
kujira17a8rvcgwzqp986rwxr9taqtyuxg9cdtsqsymh4,220855
kujira1ta4jf604glsq0h7c26zc8psx27e3hgvqg046mh,2375000000
kujira1n6awlt0cnchxaqchnh20ej5xd8nl884stc8wjl,10467
kujira1kxmawv5uapup005tww50pvz0gxg4h3808ylr2a,20037768
kujira1dsnlfcc0ecygql6rq7qjdxatlc0exrn25xdh29,528588
kujira1pvug9kg6ttuhhh3tfzu4p6rqsspgznska6qtpr,87777
kujira1urdms2fgstlcxa2g2338axqt0u96sgt7d9py23,92656
kujira1qqrmt4vdx82q9cspqey35vhrhjdcy4ff8mhly2,419942
kujira10tyllp2m7sk353tr3apl5gklxme7lu0jlqqmcp,1050372
kujira103p0skuh6kwfefgf6auyq0f9xfc7pqm4lc4qqm,51526
kujira1j7f68vl7zfrwtkeh9m8ntkn894rdyvxqg65cpg,423743
kujira19d8ul59j2750wcpcyg8eg60eyrn2j32ll4708l,218023
